Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
" Competência: FEV/2025, JAN/2025."
"Município: AMPARO DE SÃO FRANCISCO, AQUIDABÃ, ARACAJU, ARAUÁ, AREIA BRANCA, BARRA DOS COQUEIROS, BOQUIM, BREJO GRANDE, CAMPO DO BRITO, CANHOBA, CANINDÉ DE SÃO FRANCISCO, CAPELA, CARIRA, CARMÓPOLIS, CEDRO DE SÃO JOÃO, CRISTINÁPOLIS, CUMBE, DIVINA PASTORA, ESTÂNCIA, FEIRA NOVA, FREI PAULO, GARARU, GENERAL MAYNARD, GRACHO CARDOSO, ILHA DAS FLORES, INDIAROBA, ITABAIANA, ITABAIANINHA, ITABI, ITAPORANGA D'AJUDA, JAPARATUBA, JAPOATÃ, LAGARTO, LARANJEIRAS, MACAMBIRA, MALHADA DOS BOIS, MALHADOR, MARUIM, MOITA BONITA, MONTE ALEGRE DE SERGIPE, MURIBECA, NEÓPOLIS, NOSSA SENHORA APARECIDA, NOSSA SENHORA DA GLÓRIA, NOSSA SENHORA DAS DORES, NOSSA SENHORA DE LOURDES, NOSSA SENHORA DO SOCORRO, PACATUBA, PEDRA MOLE, PEDRINHAS, PINHÃO, PIRAMBU, POÇO REDONDO, POÇO VERDE, PORTO DA FOLHA, PROPRIÁ, RIACHÃO DO DANTAS, RIACHUELO, RIBEIRÓPOLIS, ROSÁRIO DO CATETE, SALGADO, SANTA LUZIA DO ITANHY, SANTA ROSA DE LIMA, SANTANA DO SÃO FRANCISCO, SANTO AMARO DAS BROTAS, SÃO CRISTÓVÃO, SÃO DOMINGOS, SÃO FRANCISCO, SÃO MIGUEL DO ALEIXO, SIMÃO DIAS, SIRIRI, TELHA, TOBIAS BARRETO, TOMAR DO GERU, UMBAÚBA."
"Temas para Saúde: Agravos negligenciados, Alimentação saudável, Autocuidado de pessoas com doenças crônicas, Ações de combate ao Aedes aegypti, Cidadania e direitos humanos, Dependência química / tabaco / álcool / outras drogas, Envelhecimento / Climatério / Andropausa / Etc, Plantas medicinais / fitoterapia, Prevenção da violência e promoção da cultura da paz, Saúde ambiental, Saúde bucal, Saúde do trabalhador, Saúde mental, Saúde sexual e reprodutiva, Semana saúde na escola."
"Programa Saúde na Escola: Educação, Saúde."
Nível: INEP (Escolas/Creche).
Tipo Informação: Quantidade de Atividade Coletiva


Uf;Ibge;Municipio;INEP (Escolas/Creche);Agravos negligenciados;Alimentação saudável;Autocuidado de pessoas com doe;Ações de combate ao Aedes aegy;Cidadania e direitos humanos;Dependência química / tabaco /;Envelhecimento / Climatério / ;Plantas medicinais / fitoterap;Prevenção da violência e promo;Saúde ambiental;Saúde bucal;Saúde do trabalhador;Saúde mental;Saúde sexual e reprodutiva;Semana saúde na escola;
SE;280670;SÃO CRISTÓVÃO;28021290;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;
SE;280670;SÃO CRISTÓVÃO;28021363;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
SE;280300;ITABAIANINHA;28022912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
SE;280550;POÇO VERDE;28008936;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;
SE;280670;SÃO CRISTÓVÃO;28021223;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
SE;280420;MONTE ALEGRE DE SERGIPE;28002130;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;
SE;280670;SÃO CRISTÓVÃO;28028635;0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;
SE;280580;RIACHÃO DO DANTAS;28012143;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
SE;280740;TOBIAS BARRETO;28010590;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;
SE;280320;ITAPORANGA D'AJUDA;28033051;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
SE;280030;ARACAJU;28019946;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;
SE;280670;SÃO CRISTÓVÃO;28021576;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;
SE;280445;NOSSA SENHORA APARECIDA;28004329;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280040;ARAUÁ;28021894;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280040;ARAUÁ;28021819;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;
SE;280445;NOSSA SENHORA APARECIDA;28027248;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
SE;280445;NOSSA SENHORA APARECIDA;28004531;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280160;CEDRO DE SÃO JOÃO;28013000;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
SE;280160;CEDRO DE SÃO JOÃO;28013026;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
SE;280670;SÃO CRISTÓVÃO;28028252;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
SE;280330;JAPARATUBA;28015002;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
SE;280740;TOBIAS BARRETO;28033329;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;
SE;280330;JAPARATUBA;28029569;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;
SE;280160;CEDRO DE SÃO JOÃO;28013034;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280670;SÃO CRISTÓVÃO;28021320;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
SE;280450;NOSSA SENHORA DA GLÓRIA;28002024;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;
SE;280060;BARRA DOS COQUEIROS;28036018;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;
SE;280040;ARAUÁ;28021983;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;
SE;280670;SÃO CRISTÓVÃO;28021452;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;
SE;280670;SÃO CRISTÓVÃO;28021177;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
SE;280700;SÃO MIGUEL DO ALEIXO;28006518;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;
SE;280740;TOBIAS BARRETO;28031814;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
SE;280670;SÃO CRISTÓVÃO;28021045;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
SE;280670;SÃO CRISTÓVÃO;28021690;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
SE;280670;SÃO CRISTÓVÃO;28021495;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
SE;280670;SÃO CRISTÓVÃO;28021622;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280130;CAPELA;28014197;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;
SE;280040;ARAUÁ;28021860;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280270;ILHA DAS FLORES;28013107;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;


Fonte: Sistema de Informação em Saúde para a Atenção Básica - SISAB;
Dado gerado em: 14 de Abril de 2025 - 08:39h
