Restrição de Atendimento	Escola	Código INEP	UF	Município	Localização	Localidade Diferenciada	Categoria Administrativa	Endereço	Telefone	Dependência Administrativa	Categoria Escola Privada	Conveniada Poder Público	Regulamentação pelo Conselho de Educação	Porte da Escola	Etapas e Modalidade de Ensino Oferecidas	Outras Ofertas Educacionais	Latitude	Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO	CENTRO DE EXCELENCIA DOM JUVENCIO DE BRITTO	28000013	SE	Canindé de São Francisco	Urbana	A escola não está em área de localização diferenciada	Pública	RUA DELFINA FERNANDES DOS SANTOS, 83 CENTRO. 49820-000 Canindé de São Francisco - SE.	(79) 998319002	Estadual	Não Informado	Não	Sim	Entre 201 e 500 matrículas de escolarização	Ensino Médio, Educação de Jovens Adultos	Atendimento Educacional Especializado	-9.661.892	-377.891.482
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO	ESC MUL DELFINA FERNANDES DOS SANTOS	28000056	SE	Canindé de São Francisco	Rural	A escola não está em área de localização diferenciada	Pública	PEDRA DAGUA, FAZENDA PEDRA DAGUA. ZONA RURAL. 49820-000 Canindé de São Francisco - SE.	(79) 998789052	Municipal	Não Informado	Não	Sim	Entre 51 e 200 matrículas de escolarização	Ensino Fundamental		-9.700.900.141	-3.785.106.124
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO	ESC MUL DR AUGUSTO DO PRADO FRANCO	28000064	SE	Canindé de São Francisco	Rural	A escola não está em área de localização diferenciada	Pública	AVENIDA JOAO ALVES FILHO, 525 49820-000 Canindé de São Francisco - SE.	(79) 33467005	Municipal	Não Informado	Não	Sim	Entre 201 e 500 matrículas de escolarização	Ensino Fundamental	Atendimento Educacional Especializado	-96.405.429	-379.191.752
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO	ESC MUL JOAO MARINHO DOS SANTOS	28000080	SE	Canindé de São Francisco	Rural	A escola não está em área de localização diferenciada	Pública	FAZENDA FORTALEZA - FAIXA, S/N 49820-000 Canindé de São Francisco - SE.	(79) 999146536	Municipal	Não Informado	Não	Sim	Entre 51 e 200 matrículas de escolarização	Educação Infantil, Ensino Fundamental		-9.773.195	-3.797.757.833
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO	ESCOLA MUNICIPAL DOMINGOS GERONIMO DOS SANTOS	28000102	SE	Canindé de São Francisco	Rural	A escola não está em área de localização diferenciada	Pública	RUA DO ALTO POV.CAPIM GROSSO S/N, S/N XXXXXXXX. POV.CAPIM GROSSO. 49820-000 Canindé de São Francisco - SE.	(79) 998824496	Municipal	Não Informado	Não	Sim	Entre 201 e 500 matrículas de escolarização	Ensino Fundamental		-97.716.375	-378.862.182
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO	ESC MUL MANOEL MESSIAS CORDEIRO	28000110	SE	Canindé de São Francisco	Rural	Área de assentamento	Pública	FAZENDA LAGOA DO MATO, S/N ASSENTAMENTO. ZONA RURAL. 49820-000 Canindé de São Francisco - SE.	(79) 33461980	Municipal	Não Informado	Não	Sim	Entre 51 e 200 matrículas de escolarização	Educação Infantil, Ensino Fundamental			
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO	ESC MUL STA LUZIA	28000170	SE	Canindé de São Francisco	Urbana	A escola não está em área de localização diferenciada	Pública	RUA ROSALVO MARINHO DOS SANTOS, S/N ESCOLA. TREVO. 49820-000 Canindé de São Francisco - SE.	(79) 33462499	Municipal	Não Informado	Não	Sim	Entre 501 e 1000 matrículas de escolarização	Ensino Fundamental, Educação de Jovens Adultos	Atendimento Educacional Especializado	-96.642.699	-377.931.048
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO	ESCOLA MUNICIPAL AGROVILA	28000200	SE	Canindé de São Francisco	Urbana	A escola não está em área de localização diferenciada	Pública	RUA JOSE PEDRO DA SILVA, S/Nº ESCOLA. AGROVILA. 49820-000 Canindé de São Francisco - SE.	(79) 991248506	Municipal	Não Informado	Não	Sim	Entre 201 e 500 matrículas de escolarização	Educação Infantil, Ensino Fundamental		-9.673.191.667	-3.779.289
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO	ESCOLA MUNICIPAL BELO HORIZONTE	28000226	SE	Canindé de São Francisco	Rural	A escola não está em área de localização diferenciada	Pública	SITIO RUA DA PALHA, S/N PV. CAPIM GROSSO. 49820-000 Canindé de São Francisco - SE.		Municipal	Não Informado	Não	Sim	Entre 51 e 200 matrículas de escolarização	Educação Infantil, Ensino Fundamental			
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO	ESCOLA MUN JOSE GUILHERME DA SILVA	28000293	SE	Canindé de São Francisco	Rural	A escola não está em área de localização diferenciada	Pública	PROJETO CALIFORNIA-SETOR 06, S/N ZONA RURAL. 49820-000 Canindé de São Francisco - SE.	(79) 999182657	Municipal	Não Informado	Não	Sim	Entre 501 e 1000 matrículas de escolarização	Educação Infantil, Ensino Fundamental	Atendimento Educacional Especializado		
